,City,Clouds,Country,Date,Lat,Lng,Max Temp,Winds
397,Nyurba,36,RU,1553818657,63.29,118.35,15.01,2.51
398,Inta,48,RU,1553818466,66.04,60.13,31.21,5.3
399,Tongren,88,CN,1553818657,27.72,109.18,57.76,3.62
400,Itacare,20,BR,1553814000,-14.28,-39.0,78.8,2.24
401,Pitiquito,0,MX,1553818637,30.68,-112.05,82.99,5.99
402,Arona,0,IT,1553818383,45.76,8.56,54.0,5.82
403,Mantua,0,IT,1553818623,45.16,10.79,52.0,6.93
404,Kaparellion,75,GR,1553818643,38.23,23.22,51.01,12.75
405,Misratah,92,LY,1553818637,32.38,15.09,58.3,18.39
406,Srednekolymsk,0,RU,1553818660,67.46,153.71,8.08,3.13
407,Sao Miguel do Iguacu,20,BR,1553814000,-25.35,-54.24,80.6,3.36
408,Perth,0,GB,1553818627,56.4,-3.43,48.99,8.05
409,Kloulklubed,75,PW,1553817000,7.04,134.26,80.6,12.75
410,Ugoofaaru,0,MV,1553818661,5.67,73.0,82.78,6.6
411,Lermontovka,0,RU,1553818661,47.15,134.34,27.07,3.51
412,Porgera,20,PG,1553818661,-5.46,143.15,62.98,2.8
413,Kavaratti,32,IN,1553818662,10.57,72.64,83.14,12.12
414,Nemuro,40,JP,1553815800,43.32,145.57,28.4,9.17
415,Tyrma,48,RU,1553818662,50.04,132.17,18.88,3.58
416,Birao,24,CF,1553818663,10.3,22.78,68.74,5.41
417,Alofi,75,NU,1553814000,-19.06,-169.92,84.2,6.93
418,Keokuk,90,US,1553818606,40.4,-91.39,60.8,5.82
419,Alekseyevka,75,RU,1553815800,53.25,50.49,30.2,8.95
420,Lufilufi,40,WS,1553818343,-13.87,-171.6,86.0,3.36
421,Leeton,92,AU,1553818217,-34.55,146.4,80.01,18.34
422,Mayumba,92,GA,1553818664,-3.44,10.65,79.36,4.92
423,Kalengwa,0,ZM,1553818665,-13.47,25.0,63.16,3.29
424,Guymon,90,US,1553817360,36.68,-101.48,64.4,16.11
425,Sal Rei,40,CV,1553814000,16.18,-22.92,69.8,10.29
426,Saint-Paul,0,FR,1553818572,45.22,1.9,45.0,8.05
427,Mizdah,32,LY,1553818666,31.45,12.98,48.13,9.17
428,Tonekabon,75,IR,1553814000,36.82,50.88,53.6,4.7
429,Eydhafushi,0,MV,1553818626,5.1,73.07,82.78,6.6
430,Richards Bay,20,ZA,1553818410,-28.77,32.06,72.43,7.31
431,Kralendijk,20,BQ,1553813700,12.15,-68.27,78.8,16.11
432,Karratha,8,AU,1553818632,-20.74,116.85,78.1,4.36
433,Westport,88,IE,1553818384,53.8,-9.52,51.01,1.01
434,Miri,8,NG,1553818668,10.31,9.75,67.21,3.91
435,Chuy,0,UY,1553818192,-33.69,-53.46,66.31,13.58
436,Leh,56,IN,1553818395,34.16,77.58,5.83,0.83
437,Helena,90,US,1553817748,46.59,-112.04,34.0,6.93
438,West Bay,5,GB,1553818633,50.71,-2.76,45.0,2.24
439,Araouane,92,ML,1553818420,18.9,-3.53,87.01,5.08
440,Beloha,76,MG,1553818669,-25.17,45.06,73.87,12.57
441,Kiama,0,AU,1553818627,-34.67,150.86,75.0,4.7
442,Bartica,40,GY,1553814000,6.41,-58.62,78.8,9.17
443,High Level,75,CA,1553817600,58.52,-117.13,48.2,12.75
444,Lixourion,80,GR,1553818571,38.2,20.43,52.0,8.99
445,Sechura,44,PE,1553818544,-5.56,-80.82,75.76,11.68
446,Berberati,0,CF,1553818671,4.26,15.79,71.44,2.01
447,Saint-Junien,0,FR,1553818632,45.89,0.9,48.2,10.29
448,Morondava,24,MG,1553818671,-20.3,44.28,78.73,5.75
449,Ballina,76,IE,1553818626,54.11,-9.15,50.0,3.0
450,Malakwal,0,PK,1553818672,32.55,73.21,66.22,1.9
451,Harbin,20,CN,1553814000,45.77,126.62,24.8,2.24
452,Zhengjiatun,24,CN,1553818672,43.51,123.51,33.55,9.28
453,Belo Jardim,64,BR,1553818673,-8.33,-36.42,71.44,9.17
454,Fortuna,20,ES,1553818520,38.18,-1.13,51.8,5.82
455,Petropavlovsk-Kamchatskiy,20,RU,1553815800,53.05,158.65,32.0,24.61
456,Kisangani,68,CD,1553818673,0.52,25.21,78.1,1.12
457,Aykhal,0,RU,1553818674,65.95,111.51,9.61,3.91
458,Teguldet,88,RU,1553818674,57.31,88.17,27.43,2.39
459,Anori,0,BR,1553818674,-3.74,-61.66,79.81,2.73
460,Hamilton,75,CA,1553818433,43.26,-79.87,53.6,14.99
461,Kibala,0,TD,1553814000,9.11,18.35,86.0,5.93
462,Mubende,64,UG,1553818675,0.56,31.4,59.11,2.84
463,Doka,0,SD,1553818675,13.52,35.76,67.39,4.59
464,Smidovich,64,RU,1553818675,48.6,133.81,24.55,4.81
465,Maragogi,100,BR,1553818542,-9.01,-35.22,79.45,6.93
466,Klyuchi,88,RU,1553818676,52.25,79.17,32.83,11.97
467,La Ronge,90,CA,1553814240,55.1,-105.3,37.4,19.46
468,Yar-Sale,20,RU,1553818459,66.83,70.83,20.77,11.9
469,Rodrigues Alves,90,BR,1553814000,-7.74,-72.65,75.2,2.24
470,Pucallpa,75,PE,1553814000,-8.38,-74.54,75.2,2.06
471,Balagansk,88,RU,1553818677,54.01,103.05,23.65,4.59
472,Keti Bandar,12,PK,1553818677,24.14,67.45,77.92,15.14
473,The Valley,20,AI,1553817646,18.22,-63.06,79.0,10.29
474,San Javier,0,ES,1553818520,37.81,-0.83,51.8,5.82
475,Sobolevo,76,RU,1553818678,54.43,31.9,32.29,11.07
476,Baykit,48,RU,1553818678,61.68,96.39,15.46,4.63
477,Burns Lake,0,CA,1553818679,54.23,-125.76,45.79,2.84
478,Okha,68,RU,1553818679,53.59,142.95,18.88,14.36
479,Barsi,0,IN,1553818679,29.05,76.02,64.78,1.79
480,Sioux Lookout,40,CA,1553814000,50.1,-91.92,28.4,11.41
481,Xuddur,0,SO,1553818680,4.12,43.89,69.91,7.09
482,Waingapu,24,ID,1553818680,-9.65,120.26,78.46,4.59
483,Kachug,12,RU,1553818680,53.96,105.89,11.14,3.36
484,Quang Ngai,8,VN,1553818681,15.12,108.8,75.13,2.91
485,Russkaya Polyana,92,RU,1553818681,53.78,73.88,32.38,16.71
486,Brae,92,GB,1553817000,60.4,-1.35,48.2,33.33
487,Tchollire,24,CM,1553818682,8.4,14.17,72.61,2.62
488,Imuris,0,MX,1553818516,30.78,-110.86,82.99,7.0
489,Poshekhonye,88,RU,1553818682,58.5,39.12,22.93,3.62
490,Clyde,0,NZ,1553818570,-45.19,169.32,64.0,1.01
491,Hofn,64,IS,1553818432,64.25,-15.21,37.33,20.24
492,Cravo Norte,80,CO,1553818683,6.3,-70.2,92.86,3.51
493,Lardos,75,GR,1553818564,36.09,28.02,57.99,9.17
494,Phetchaburi,20,TH,1553814000,13.1,99.94,78.8,3.36
495,Almaznyy,0,RU,1553815800,48.03,40.04,30.2,8.95
496,Eucaliptus,36,BO,1553818684,-17.6,-67.51,51.1,4.03
497,Goundam,44,ML,1553818685,16.42,-3.66,82.51,1.34
498,Poronaysk,68,RU,1553818685,49.22,143.1,22.3,9.28
499,Ariquemes,92,BR,1553818686,-9.91,-63.03,74.32,2.62
500,Weligama,0,LK,1553818686,5.97,80.42,76.66,1.83
501,Ous,80,RU,1553818686,60.91,61.52,31.21,4.36
502,Slave Lake,1,CA,1553814000,55.28,-114.77,44.6,10.29
503,Porto-Vecchio,0,FR,1553817600,41.59,9.28,50.0,6.93
504,Poum,0,MK,1553818442,41.28,20.71,33.64,2.91
505,Kruisfontein,76,ZA,1553818419,-34.0,24.73,66.04,14.36
506,Kainantu,12,PG,1553818688,-6.29,145.87,72.25,0.34
507,Zhanakorgan,36,KZ,1553818688,43.91,67.25,50.29,4.41
508,Sambava,36,MG,1553818688,-14.27,50.17,79.63,9.17
509,Marfino,75,RU,1553817235,56.07,37.56,33.8,6.71
510,Anchorage,1,US,1553818688,61.22,-149.89,50.0,6.93
511,Emmett,75,US,1553818680,43.87,-116.5,54.0,13.87
512,Savannah Bight,0,HN,1553818690,16.45,-85.85,78.82,8.55
513,Port Hardy,75,CA,1553814000,50.7,-127.42,55.4,8.05
514,Ribas do Rio Pardo,64,BR,1553818690,-20.45,-53.76,79.36,8.05
515,Sungaipenuh,24,ID,1553818528,-2.08,101.38,66.49,1.39
516,Uray,68,RU,1553818691,60.13,64.8,29.32,5.64
517,Maymyo,20,MM,1553815800,22.03,96.47,64.4,3.36
518,Kudahuvadhoo,0,MV,1553818493,2.67,72.89,82.87,4.74
519,Tumut,88,AU,1553818691,-35.3,148.22,62.08,4.14
520,Narsaq,0,GL,1553817000,60.91,-46.05,15.8,11.41
521,Kenai,40,US,1553818566,60.55,-151.26,46.0,10.29
522,Nalut,20,LY,1553818692,31.86,10.98,46.06,5.37
523,Pundaguitan,56,PH,1553818692,6.37,126.17,79.45,6.6
524,Aquiraz,75,BR,1553818398,-3.9,-38.39,79.0,3.36
525,Iztapa,75,GT,1553817600,13.93,-90.71,86.0,4.7
526,Wilmington,20,US,1553818547,39.75,-75.55,53.01,11.41
527,Sayat,75,TM,1553814000,38.78,63.88,53.6,13.87
528,NEDJO,44,ET,1553818694,9.5,35.5,58.12,2.62
529,Palimbang,75,PH,1553818512,14.9,120.78,86.0,2.24
530,Kaihua,88,CN,1553818695,29.14,118.41,55.15,3.36
531,Tessaoua,68,NE,1553818695,13.76,7.99,81.43,13.2
532,Cangzhou,12,CN,1553818695,38.3,116.85,41.38,4.59
533,Caborca,0,MX,1553818516,30.58,-111.1,82.99,7.0
534,Oum Hadjer,8,TD,1553818696,13.3,19.7,70.36,3.24
535,Norfolk,75,US,1553818550,36.85,-76.29,57.99,9.17
536,Wuchi,0,NG,1553818696,13.33,5.43,79.63,11.3
537,Roebourne,8,AU,1553818696,-20.77,117.15,78.1,4.36
538,Tual,68,ID,1553818697,-5.67,132.75,79.54,11.45
539,Santa Marinella,0,IT,1553818691,42.04,11.87,53.01,2.24
540,Bajil,0,ES,1553818464,38.23,-2.07,34.63,4.03
541,Mattru,8,SL,1553818697,7.62,-11.83,79.63,4.85
542,Meadow Lake,75,CA,1553814000,54.13,-108.44,42.8,16.11
543,Port Hedland,44,AU,1553815800,-20.31,118.58,82.4,8.05
544,Diglur,0,IN,1553818698,18.55,77.6,66.94,2.8
545,Solwezi,12,ZM,1553818698,-12.18,26.4,60.01,7.27
546,Khani,92,GE,1553815800,41.96,42.96,39.2,2.24
547,Hualmay,80,PE,1553818699,-11.1,-77.61,70.9,4.14
548,Tierra Blanca,0,MX,1553818699,18.45,-96.36,77.11,4.25
549,Guisa,0,CU,1553817000,20.25,-76.54,73.4,9.17
550,Turkan,48,AF,1553818700,35.6,68.92,31.75,1.9
551,Imeni Poliny Osipenko,56,RU,1553818493,52.42,136.49,19.15,7.43
552,Pangoa,68,PE,1553818700,-12.12,-73.0,68.47,0.83
